scenario,seed,window_id,expected_label,diagnosis_label,target_correct_stop,target_ambiguous_stop,diagnosis_stable_2,diagnosis_changed_from_previous,diagnosis_confident,diagnosis_margin_clear,latency_recovered,queue_delay_recovered,gpu_util_recovered,memory_pressure_low,throughput_recovered,queue_pressure_low,kernel_duration_stable,latency_ratio_vs_baseline,queue_delay_proxy_p95_ms,gpu_util_percent_mean,gpu_memory_used_percent_mean,request_throughput_rps,throughput_ratio_vs_baseline,queue_pressure_score,diagnosis_confidence,diagnosis_rank_margin,kernel_duration_cv,kernel_duration_stability_delta_percent
long_output,5101,2,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.985,0.0,92.114,93.015,0.8,2.0,0.0,0.633,0.181,0.0,0.0
long_output,5101,3,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.987,0.0,92.45,93.028,0.525,1.313,0.0,0.654,0.163,0.0,0.0
long_output,5102,0,vllm_long_output,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,1,0,1.0,4.497,88.056,92.997,0.4,1.0,0.018,0.639,0.147,0.0,0.0
long_output,5102,1,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.992,0.0,92.057,93.001,0.4,1.0,0.0,0.637,0.177,0.0,0.0
long_output,5102,2,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.988,0.0,92.514,93.015,0.8,2.0,0.0,0.635,0.182,0.0,0.0
long_output,5102,3,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.984,0.0,92.949,93.029,0.532,1.33,0.0,0.643,0.177,0.0,0.0
long_output,5103,0,vllm_long_output,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,1,0,1.0,3.934,87.93,92.997,0.4,1.0,0.016,0.636,0.148,0.0,0.0
long_output,5103,1,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.989,0.0,92.186,93.001,0.4,1.0,0.0,0.647,0.168,0.0,0.0
long_output,5103,2,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.987,0.0,92.38,93.015,0.8,2.0,0.0,0.639,0.177,0.0,0.0
long_output,5103,3,vllm_long_output,vllm_long_output,1,0,1,0,1,1,1,1,0,1,1,1,0,0.988,0.0,92.41,93.029,0.532,1.331,0.0,0.641,0.175,0.0,0.0
long_prompt,5101,0,vllm_long_prompt,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,0,0,1.0,75.459,90.845,93.319,1.9,1.0,0.302,0.704,0.102,0.0,0.0
long_prompt,5101,1,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,1,1,0,0.995,17.008,94.914,93.327,2.1,1.105,0.068,0.704,0.133,0.0,0.0
long_prompt,5101,2,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,1,1,0,0.998,24.737,95.086,93.327,2.0,1.053,0.099,0.704,0.134,0.0,0.0
long_prompt,5101,3,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,0,1,0,0.994,11.469,94.0,93.327,1.541,0.811,0.046,0.704,0.126,0.0,0.0
long_prompt,5102,0,vllm_long_prompt,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,0,0,1.0,62.449,91.5,93.319,1.8,1.0,0.25,0.704,0.107,0.0,0.0
long_prompt,5102,1,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,1,0,0,0.998,33.409,94.366,93.327,2.2,1.222,0.134,0.704,0.128,0.0,0.0
long_prompt,5102,2,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,1,0,0,1.0,34.294,94.386,93.327,2.0,1.111,0.137,0.704,0.128,0.0,0.0
long_prompt,5102,3,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,0,1,0,0.998,22.181,93.214,93.327,1.515,0.842,0.089,0.704,0.12,0.0,0.0
long_prompt,5103,0,vllm_long_prompt,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,1,0,1,1,0,1,1,0,0,1.0,79.609,91.169,93.319,2.0,1.0,0.318,0.704,0.104,0.0,0.0
long_prompt,5103,1,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,1,0,0,0.997,30.148,94.586,93.327,2.0,1.0,0.121,0.704,0.13,0.0,0.0
long_prompt,5103,2,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,1,0,0,0.999,35.198,94.606,93.327,2.0,1.0,0.141,0.704,0.13,0.0,0.0
long_prompt,5103,3,vllm_long_prompt,vllm_long_prompt,1,0,1,0,1,0,1,1,0,1,0,1,0,0.988,2.489,95.462,93.327,1.573,0.786,0.01,0.703,0.137,0.0,0.0
queue_pressure,5101,0,vllm_queue_pressure,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,0,1,1,1,0,1,1,0,0,1.0,87.236,86.859,93.319,8.0,1.0,0.349,0.55,0.226,0.0,0.0
queue_pressure,5101,1,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.992,22.265,91.157,93.327,9.6,1.2,0.089,0.55,0.258,0.0,0.0
queue_pressure,5101,2,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.988,11.381,91.972,93.334,8.0,1.0,0.046,0.55,0.263,0.0,0.0
queue_pressure,5101,3,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.977,0.0,92.0,93.337,31.76,3.97,0.0,0.55,0.262,0.0,0.0
queue_pressure,5102,0,vllm_queue_pressure,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,0,1,1,1,0,1,1,0,0,1.0,32.887,88.507,93.319,8.0,1.0,0.132,0.55,0.239,0.0,0.0
queue_pressure,5102,1,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.991,7.02,91.286,93.327,9.6,1.2,0.028,0.55,0.258,0.0,0.0
queue_pressure,5102,2,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.994,16.065,91.662,93.334,8.0,1.0,0.064,0.55,0.262,0.0,0.0
queue_pressure,5102,3,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.991,0.0,92.333,93.337,30.298,3.787,0.0,0.55,0.266,0.0,0.0
queue_pressure,5103,0,vllm_queue_pressure,vllm_latency_regression_unknown_gpu_cause,0,1,0,0,0,1,1,1,0,1,1,0,0,1.0,74.093,87.643,93.319,8.0,1.0,0.296,0.55,0.232,0.0,0.0
queue_pressure,5103,1,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.993,16.161,91.443,93.327,9.6,1.2,0.065,0.55,0.26,0.0,0.0
queue_pressure,5103,2,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.992,17.084,92.3,93.334,8.0,1.0,0.068,0.55,0.266,0.0,0.0
queue_pressure,5103,3,vllm_queue_pressure,vllm_queue_pressure,1,0,1,0,0,1,1,1,0,1,1,1,0,0.991,5.978,92.0,93.337,40.378,5.047,0.024,0.55,0.264,0.0,0.0
