scenario,seed,policy,expected_label,selected_windows,heavy_trace_duration_s,trace_volume_proxy_windows,top1_correct,ever_correct,first_correct_window,stop_window,premature_stop,re_escalation_needed,diagnosis_sequence
long_output,5103,counter_recovery_stop,vllm_long_output,4,30.925,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_output|vllm_long_output|vllm_long_output
long_output,5103,hybrid_stop,vllm_long_output,4,30.925,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_output|vllm_long_output|vllm_long_output
long_prompt,5101,fixed_burst,vllm_long_prompt,1,10.0,1,0,0,,0,1,1,vllm_latency_regression_unknown_gpu_cause
long_prompt,5101,repeated_fixed_burst,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5101,stability_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5101,marginal_utility_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5101,counter_recovery_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5101,hybrid_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5102,fixed_burst,vllm_long_prompt,1,10.0,1,0,0,,0,1,1,vllm_latency_regression_unknown_gpu_cause
long_prompt,5102,repeated_fixed_burst,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5102,stability_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5102,marginal_utility_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5102,counter_recovery_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5102,hybrid_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5103,fixed_burst,vllm_long_prompt,1,10.0,1,0,0,,0,1,1,vllm_latency_regression_unknown_gpu_cause
long_prompt,5103,repeated_fixed_burst,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5103,stability_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5103,marginal_utility_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5103,counter_recovery_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
long_prompt,5103,hybrid_stop,vllm_long_prompt,3,30.0,3,1,1,1,2,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_long_prompt|vllm_long_prompt
queue_pressure,5101,fixed_burst,vllm_queue_pressure,1,10.0,1,0,0,,0,1,1,vllm_latency_regression_unknown_gpu_cause
queue_pressure,5101,repeated_fixed_burst,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5101,stability_stop,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5101,marginal_utility_stop,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5101,counter_recovery_stop,vllm_queue_pressure,4,35.821,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5101,hybrid_stop,vllm_queue_pressure,4,35.821,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5102,fixed_burst,vllm_queue_pressure,1,10.0,1,0,0,,0,1,1,vllm_latency_regression_unknown_gpu_cause
queue_pressure,5102,repeated_fixed_burst,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5102,stability_stop,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5102,marginal_utility_stop,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5102,counter_recovery_stop,vllm_queue_pressure,4,35.781,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5102,hybrid_stop,vllm_queue_pressure,4,35.781,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5103,fixed_burst,vllm_queue_pressure,1,10.0,1,0,0,,0,1,1,vllm_latency_regression_unknown_gpu_cause
queue_pressure,5103,repeated_fixed_burst,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5103,stability_stop,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5103,marginal_utility_stop,vllm_queue_pressure,3,30.0,3,1,1,1,2,0,1,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5103,counter_recovery_stop,vllm_queue_pressure,4,35.804,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure|vllm_queue_pressure
queue_pressure,5103,hybrid_stop,vllm_queue_pressure,4,35.804,4,1,1,1,3,0,0,vllm_latency_regression_unknown_gpu_cause|vllm_queue_pressure|vllm_queue_pressure|vllm_queue_pressure
